epoch	NLL	sdz	sample_time	KLD_NM	KLD_R
1	9318.759978376116	1.0105115971394947	39.14922022819519	0.16507020284875384	0.0
2	8099.931717354911	1.0232852126870837	39.883447885513306	0.033964838610194434	0.0
3	7959.250153459821	1.028117704817227	14.554742574691772	0.02794775351245864	0.0
4	7845.708095005581	1.0334956948246274	13.297633647918701	0.02399824987110988	0.0
5	7768.777535574777	1.044056510925293	12.74593734741211	0.027477597870189347	0.0
6	7736.3489920479915	1.0499236587967191	13.240431547164917	0.03233005998847087	0.0
7	7677.613424246651	1.056159291097096	12.996685266494751	0.0385430893312182	0.0
8	7707.136814662388	1.0589475546564375	12.762543201446533	0.03726291394552612	0.0
9	7671.983318219866	1.0621477957282748	13.238970518112183	0.03488752192944644	0.0
10	7639.845983886718	1.066424810886383	13.031872987747192	0.039843700925972114	0.0
20	7566.621186174665	1.1079111542020526	12.911207437515259	0.06460706373550253	0.0
30	7626.733567592076	1.1392722006355014	13.02565312385559	0.0759835755042114	0.0
40	7568.582130650112	1.178143067445074	12.713042974472046	0.059165545096353994	0.0
50	7700.030313546317	1.192617004258292	13.449791431427002	0.070620767655494	0.0
60	7804.039404296875	1.1964629790612629	12.783677339553833	0.07895634633518919	0.0
70	7883.026110839844	1.1728959275143487	12.958648443222046	0.1034215117095116	0.0
80	7676.476778738839	1.2217321685382299	12.886106252670288	0.0615868806359989	0.0
90	7786.653733607701	1.2257411475692477	12.774109840393066	0.07307492256583695	0.0
100	7829.470101492746	1.21237781558718	12.759329080581665	0.07993525919327671	0.0
110	7740.632423618862	1.2258128894226892	13.139381885528564	0.06659528893026916	0.0
120	7828.917182268415	1.2438053224767958	13.417139768600464	0.06576588484346894	0.0
130	7774.009401157924	1.2240247824362347	13.357431888580322	0.07445495343477801	0.0
140	7904.1529541015625	1.2294997360025133	12.758546829223633	0.08664463959462203	0.0
150	7854.794173758371	1.2289392820426397	12.806570291519165	0.08204818950100563	0.0
160	8032.952889578683	1.1975879102945328	12.832244873046875	0.12569504895478065	0.0
170	7973.169651576451	1.2297041927065169	13.09935450553894	0.10186087299847879	0.0
180	7734.449447195871	1.2512540417058127	13.103986024856567	0.06210868492835633	0.0
190	8025.013828822544	1.2014255676950727	13.289767265319824	0.12519248582950576	0.0
200	7928.381815011161	1.2214389724390848	12.747223615646362	0.1029403116623999	0.0
210	7797.983609444755	1.2606074631214141	12.793389081954956	0.06530801786755515	0.0
220	7862.262887137277	1.2536380980695998	13.341645956039429	0.07673289532363528	0.0
230	7842.937179129464	1.2438722167696272	13.784972667694092	0.08071867524574629	0.0
240	7894.4084524972095	1.2197883095060076	13.187431812286377	0.09952551186027216	0.0
250	8027.535403878348	1.21300425188882	12.799234867095947	0.12093928907647682	0.0
260	7840.641446358817	1.2653885313442774	13.049951076507568	0.07031852474542534	0.0
270	7789.373284040179	1.270798915198871	13.053134202957153	0.067720474339437	0.0
280	7721.165541294643	1.2840869179793766	12.809396982192993	0.05168304622184443	0.0
290	8022.057081821987	1.2547631025314332	13.22432279586792	0.09277529596034226	0.0
300	7957.166366141183	1.2349548352616173	13.50235891342163	0.0973309541238987	0.0
310	7712.0860630580355	1.271695055280413	12.813226461410522	0.05280988236092532	0.0
320	7880.680160086496	1.2549145728349687	13.289461851119995	0.07499896450235255	0.0
330	7827.843460518973	1.2731296807527541	13.16094183921814	0.06104220910511037	0.0
340	8055.073634556362	1.25006830734866	12.78222107887268	0.10883394947296147	0.0
350	8020.189662388393	1.218341207078525	12.746209621429443	0.11128949546908687	0.0
360	7793.046280343192	1.278291010430881	13.029635190963745	0.0570038883433317	0.0
370	7842.011558314732	1.2635630309581756	13.261695146560669	0.07479375244807376	0.0
380	7719.287166922433	1.2989790533270156	13.0199556350708	0.045561346916001604	0.0
390	7959.057233537947	1.239043202996254	12.746459722518921	0.0950286214152237	0.0
400	7832.460356794085	1.2539744415453502	13.18567156791687	0.07719504258432677	0.0
410	7926.651663643973	1.2731793842145376	12.784228563308716	0.06660944890012072	0.0
420	8056.364763532366	1.2128728998558862	12.79128122329712	0.11657892301927311	0.0
430	7924.474051339285	1.241583093575069	12.843259572982788	0.08994066053411326	0.0
440	7956.273217773438	1.234715273976326	12.727619886398315	0.09755110620227105	0.0
450	7895.776114327567	1.2565214242253984	13.026860475540161	0.07111115006872547	0.0
460	7756.996449497768	1.2865134622369494	12.75707745552063	0.04860844712747484	0.0
470	7672.92477155413	1.2819649415356773	13.190463542938232	0.04769076285068622	0.0
480	7845.440999930245	1.2737108179501124	12.84489893913269	0.06796454371987837	0.0
490	7676.392354910714	1.3071648674351828	13.243453979492188	0.03944410586195439	0.0
500	8288.319240025112	1.2110863783529826	13.273332357406616	0.17454767027124982	0.0
510	7852.499168178013	1.2635993795735496	12.749709367752075	0.06851889245053067	0.0
520	7807.489031110491	1.2745341990675245	13.012139558792114	0.059724539459439695	0.0
530	8007.517782156808	1.273937069092478	12.74717092514038	0.08438118266776876	0.0
540	7701.364467075893	1.2834078550338746	13.21873664855957	0.04431579322880656	0.0
550	7804.2974888392855	1.2761442610195706	13.130224704742432	0.055136134157914025	0.0
560	7781.59895891462	1.2918575763702393	13.014204263687134	0.05251136290281837	0.0
570	7798.271051897322	1.260911198598998	12.714967250823975	0.06546270730460424	0.0
580	7897.560791015625	1.2776227538074767	12.788253784179688	0.07253926872272859	0.0
590	7814.3044416155135	1.2810236143214362	13.266492128372192	0.05429873156461829	0.0
600	7950.80663016183	1.2624897956848145	12.811439275741577	0.08168241820564208	0.0
610	7778.2254638671875	1.2685888043471745	13.05889368057251	0.06322883666769201	0.0
