epoch	NLL	sdz	train_time
1	15181.535168511771	0.1491786176230207	305
2	8061.045274400925	0.9595159685130611	302
3	7895.683026205157	0.9873023096756016	304
4	7758.324019934137	0.9863393020202226	106
5	7640.716846797926	0.9873249722703156	106
6	7570.617448938481	0.9893937498464712	108
7	7527.6644960411995	0.99068255616945	106
8	7493.521870182875	0.9916629607367409	107
9	7462.308260054652	0.9924854784268434	106
10	7436.979349863369	0.9928286196405043	108
11	7410.285352438341	0.9930639007166362	107
12	7354.847360653727	0.991047920560623	107
13	7255.585255220011	0.9869411125845974	106
14	7151.364694419142	0.9847639986752394	107
15	7048.65617423977	0.9834812264805952	107
16	6954.324397859445	0.9836058465354646	107
17	6884.021358253924	0.98452014789453	106
18	6831.008461498038	0.9845949209324447	106
19	6782.774224005045	0.9847102960663526	106
20	6739.998661277326	0.9853237582429107	106
21	6706.937525399383	0.9858853214524786	107
22	6673.121461603139	0.9866324596875452	107
23	6643.288134108744	0.9871831659244314	108
24	6623.960831523263	0.9882777767865647	107
25	6596.547295841508	0.9885225984013134	107
26	6578.5972227088005	0.989873051964114	107
27	6559.442981887612	0.9896234008763403	107
28	6542.5899873878925	0.9899311617350899	106
29	6528.144056544283	0.9902359921835998	107
30	6512.856382689883	0.9909539303437477	107
31	6497.647248984024	0.9906375131799501	108
32	6483.657138102579	0.9907915073659922	163
33	6470.415281670404	0.9907033121104732	166
34	6458.848031985706	0.9910088580285488	107
35	6446.702839475897	0.9910217288898245	109
36	6436.39063594801	0.9910769123132988	106
37	6426.551294492713	0.9913402022802241	106
38	6417.2966192544845	0.9914161954225446	106
39	6407.919669632847	0.9919921143707139	106
40	6401.942766868694	0.9920597153394212	106
41	6392.081337584081	0.9918706156213187	108
42	6386.790145915078	0.9923386140254581	106
43	6377.4301797225335	0.9923272096522721	107
44	6372.538007987669	0.9924554925328413	106
45	6367.69656057315	0.9929557321852098	107
46	6359.873636315863	0.9927912303150502	107
47	6353.7899081242995	0.9928889721498361	106
48	6351.8562583204875	0.9935026149044123	108
49	6348.049922050168	0.9931334116533733	106
50	6341.986690723094	0.9931319783621305	107
51	6336.547962794282	0.9933161868108228	106
52	6329.93132576023	0.9934971329877195	106
53	6328.872596692825	0.9937068302535156	108
54	6326.024787608604	0.9937248115047745	106
55	6321.773018410174	0.9939770467078205	108
56	6316.476813866312	0.9939855916617697	107
